Museum ID,Museum Name,Museum Type,Institution Name,City (Administrative Location),State (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Income,Revenue
8402600115,LIBERTY HYDE BAILEY MUSEUM,GENERAL MUSEUM,,SOUTH HAVEN,MI,,,,33152.0,
8402600500,LINCOLN PARK HISTORICAL SOCIETY,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,LINCOLN PARK,MI,1335 SOUTHFIELD ROAD,LINCOLN PARK,MI,0.0,0.0
8402600942,LINCOLN PARK PRESERVATION ALLIANCE,HISTORIC PRESERVATION,,LINCOLN PARK,MI,,,,0.0,0.0
8402601076,LINDEN MILLS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,LINDEN,MI,1515 W ROLSTON RD,LINDEN,MI,0.0,0.0
8402600681,LITCHFIELD AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,LITCHFIELD,MI,,,,0.0,0.0
8402601000,LITTLE TRAVERSE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,PETOSKEY,MI,,,,58132.0,58132.0
8402600685,LIVINGSTON COUNTY GENEALOGICAL SOCIETY,HISTORIC PRESERVATION,,HOWELL,MI,,,,0.0,0.0
8402600110,LIVINGSTON COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,HOWELL,MI,,,,0.0,0.0
8402600713,LOG CABIN SOCIETY OF MICHIGAN,HISTORIC PRESERVATION,,SODUS,MI,,,,0.0,0.0
8402600118,LORE OF LAKES MARITIME MUSEUM,GENERAL MUSEUM,,COPPER HARBOR,MI,,,,14004.0,8015.0
8402600754,LOVELLS TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,,GRAYLING,MI,,,,0.0,0.0
8402600733,LOWELL AREA HISTORICAL ASSOCIATION,HISTORIC PRESERVATION,,LOWELL,MI,,,,85726.0,80956.0
8402600574,LUCE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,NEWBERRY,MI,411 WEST HARRIE STREET,NEWBERRY,MI,0.0,0.0
8402600274,LUMBERJACKS & RIVERMENS PARK ASSOCIATION,HISTORIC PRESERVATION,,VESTABURG,MI,,,,0.0,0.0
8402600866,MACKINAW AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MACKINAW CITY,MI,1425 WEST CENTRAL AVENUE,MACKINAW CITY,MI,159130.0,147044.0
8402601026,MACOMB CHILDREN'S HANDS ON MUSEUM,CHILDREN'S MUSEUM,,MOUNT CLEMENS,MI,,,,0.0,0.0
8402600619,MACOMB COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MOUNT CLEMENS,MI,,,,308814.0,85509.0
8402600877,MANCELONA AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MANCELONA,MI,9826 SOUTH WILLIAMS STREET,MANCELONA,MI,0.0,0.0
8402600515,MANCHESTER AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MANCHESTER,MI,,,,0.0,0.0
8402600814,MANISTEE ART INSTITUTE,ART MUSEUM,,MANISTEE,MI,30 JONES STREET,MANISTEE,MI,0.0,0.0
8402600992,MANISTEE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MANISTEE,MI,,,,103571.0,102190.0
8402600721,MANITOU ISLANDS MEMORIAL SOCIETY,HISTORIC PRESERVATION,,WEST BRANCH,MI,,,,0.0,0.0
8402600800,MANOOGIAN MANSION RESTORATION SOCIETY,HISTORIC PRESERVATION,,DETROIT,MI,2 WOODWARD AVE RM 1126,DETROIT,MI,0.0,0.0
8402600442,MANTON AREA HERITAGE RESTORATION GROUP,HISTORY MUSEUM,,MANTON,MI,,,,0.0,0.0
8402600791,MANTON AREA HISTORICAL MUSEUM,HISTORIC PRESERVATION,,MANTON,MI,102 GRISWALD ST,MANTON,MI,0.0,0.0
8402600982,MARINE HISTORICAL SOCIETY OF DETROIT,HISTORIC PRESERVATION,,HOWELL,MI,,,,29966.0,29966.0
8402600961,MARINELIFE AQUARIUM SOCIETY OF MICHIGAN,"ZOO, AQUARIUM, OR WILDLIFE CONSERVATION",,READING,MI,,,,0.0,0.0
8402600075,MARION AREA HISTORICAL MUSEUM,HISTORIC PRESERVATION,,MARION,MI,,,,0.0,0.0
8402600630,MARITIME HERITAGE ALLIANCE,HISTORY MUSEUM,,TRAVERSE CITY,MI,,,,150794.0,147228.0
8402600074,MARLETTE HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MARLETTE,MI,3093 MOORE ST,MARLETTE,MI,0.0,0.0
8402600449,MARQUETTE COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MARQUETTE,MI,,,,2563177.0,1114873.0
8402600560,MARQUETTE MARITIME MUSEUM,HISTORY MUSEUM,,MARQUETTE,MI,300 LAKE SHORE BLVD,MARQUETTE,MI,151308.0,134431.0
8402600850,MARQUETTE RANGE IRON MINING HERITAGE THEME PARK,HISTORIC PRESERVATION,,ISHPEMING,MI,501 W EUCLID STREET,ISHPEMING,MI,43759.0,42790.0
8402601077,MARTIN JOHNSON HERITAGE MUSEUM,HISTORIC PRESERVATION,,BALDWIN,MI,,,,0.0,0.0
8402600904,MARY SHELDON ISMON HOUSE,HISTORIC PRESERVATION,,ALBION,MI,300 SOUTH CLINTON STREET,ALBION,MI,41861.0,41861.0
8402600626,MASON AREA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MASON,MI,200 E OAK ST,MASON,MI,0.0,0.0
8402600465,MASON COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,LUDINGTON,MI,,,,500226.0,495284.0
8402600564,MAYVILLE AREA HISTORICAL MUSEUM,HISTORIC PRESERVATION,,MAYVILLE,MI,2124 OHMER ROAD,MAYVILLE,MI,0.0,0.0
8402600726,MECOSTA COUNTY HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BIG RAPIDS,MI,,,,0.0,0.0
8402600696,MEMPHIS HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MEMPHIS,MI,,,,0.0,0.0
8402600071,MENOMINEE COUNTY HISTORICAL MUSEUM,HISTORIC PRESERVATION,,MENOMINEE,MI,904 11TH AVE,MENOMINEE,MI,15713.0,14709.0
8402600267,MENOMINEE OPERA HOUSE,GENERAL MUSEUM,,MENOMINEE,MI,122 5TH AVE,MENOMINEE,MI,54375.0,54375.0
8402600069,MENOMINEE RANGE HISTORICAL FOUNDATION MUSEUM,HISTORIC PRESERVATION,,IRON MOUNTAIN,MI,PO BOX 237,IRON MOUNTAIN,MI,222642.0,214374.0
8402600091,MERIDIAN HISTORIC VILLAGE,HISTORIC PRESERVATION,,OKEMOS,MI,,,,40546.0,37170.0
8402600346,MERRILL TOWNSHIP HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BITELY,MI,,,,0.0,0.0
8402600543,METAMORA HISTORICAL SOCIETY,HISTORIC PRESERVATION,,METAMORA,MI,26 E HIGH ST,METAMORA,MI,0.0,0.0
8402600407,METROPOLITAN DETROIT VETERANS COALITION,HISTORIC PRESERVATION,,DETROIT,MI,,,,0.0,0.0
8402601021,MICHIGAMME MUSEUM,HISTORIC PRESERVATION,,MICHIGAMME,MI,110 W MAIN ST,MICHIGAMME,MI,103.0,103.0
8402601050,MICHIGAN AIR GUARD HISTORICAL ASSOCIATION,HISTORY MUSEUM,,SELFRIDGE ANG BASE,MI,,,,68584.0,64111.0
8402600753,MICHIGAN BLACK HORSEMANS ASSOCIATION,HISTORIC PRESERVATION,,DETROIT,MI,18100 MEYERS,DETROIT,MI,5078.0,5078.0
8402600951,MICHIGAN FALLEN HEROES MEMORIAL,HISTORIC PRESERVATION,,PONTIAC,MI,,,,37906.0,25783.0
8402600603,MICHIGAN FARMERS HALL OF FAME,GENERAL MUSEUM,,DELTON,MI,,,,0.0,0.0
8402600894,MICHIGAN FIREHOUSE MUSEUM AND EDUCATION CENTER,HISTORY MUSEUM,,YPSILANTI,MI,,,,396794.0,355005.0
8402600092,MICHIGAN FLYWHEELERS,GENERAL MUSEUM,,SOUTH HAVEN,MI,,,,155264.0,143404.0
8402600830,MICHIGAN FLYWHEELERS MUSEUM,GENERAL MUSEUM,,BANGOR,MI,64958 M43 HWY,SOUTH HAVEN,MI,155264.0,143404.0
8402600989,MICHIGAN FORESTRY AND PARK ASSOCIATION,"ARBORETUM, BOTANICAL GARDEN, OR NATURE CENTER",,MASON,MI,,,,0.0,0.0
8402600723,MICHIGAN HISTORIC PRESERVATION NETWORK,HISTORIC PRESERVATION,,LANSING,MI,,,,22474217.0,22470469.0
8402600073,MICHIGAN HISTORICAL MUSEUM,HISTORIC PRESERVATION,,LANSING,MI,,,,91163.0,83894.0
8402600645,MICHIGAN JEWISH SPORTS HALL OF FAME,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,WALLED LAKE,MI,,,,320132.0,164897.0
8402600659,MICHIGAN LABOR HISTORY SOCIETY,HISTORY MUSEUM,,GROSSE POINTE PARK,MI,,,,0.0,0.0
8402600803,MICHIGAN LEGACY ART PARK,HISTORIC PRESERVATION,,THOMPSONVILLE,MI,,,,142507.0,126349.0
8402600248,MICHIGAN LIGHTHOUSE ALLIANCE,HISTORIC PRESERVATION,,DRUMMOND ISLAND,MI,,,,0.0,0.0
8402600880,MICHIGAN MAGAZINE MUSEUM,GENERAL MUSEUM,,COMINS,MI,3309 NORTH ABBE ROAD,COMINS,MI,0.0,0.0
8402600567,MICHIGAN MARITIME MUSEUM,GENERAL MUSEUM,,SOUTH HAVEN,MI,,,,620013.0,604554.0
8402600347,MICHIGAN MATHEMATICS AND SCIENCE CENTERS NETWORK,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,ANN ARBOR,MI,,,,110186.0,110186.0
8402600769,MICHIGAN MILITARY AIR LAND/SEA,GENERAL MUSEUM,,GRAND RAPIDS,MI,4900 37TH STREET SOUTHEAST,GRAND RAPIDS,MI,7209.0,
8402600240,MICHIGAN MILITARY HISTORY,HISTORIC PRESERVATION,,LANSING,MI,702 W KALAMAZOO ST,LANSING,MI,0.0,0.0
8402600367,MICHIGAN MILITARY TECHNICAL HISTORICAL SOCIETY,HISTORIC PRESERVATION,,EASTPOINTE,MI,,,,28256.0,24864.0
8402600819,MICHIGAN MUSEUM OF MILITARY TRANSPORT FOUNDATION,GENERAL MUSEUM,,FREELAND,MI,,,,0.0,0.0
8402600084,MICHIGAN MUSEUM OF SURVEYING,GENERAL MUSEUM,,LANSING,MI,,,,125258.0,107325.0
8402600418,MICHIGAN MUSIC HALL OF FAME,HISTORIC PRESERVATION,,YPSILANTI,MI,,,,0.0,0.0
8402600801,MICHIGAN ORAL HISTORY ASSOCIATION,HISTORIC PRESERVATION,,LANSING,MI,,,,0.0,0.0
8402600314,MICHIGAN PHOTOGRAPHIC HISTORICAL SOCIETY,HISTORIC PRESERVATION,,BIRMINGHAM,MI,,,,0.0,0.0
8402600796,MICHIGAN POLITICAL HISTORY SOCIETY,HISTORIC PRESERVATION,,EAST LANSING,MI,,,,0.0,0.0
8402600304,MICHIGAN SCIENCE CENTER,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,DETROIT,MI,5020 JOHN R ST,DETROIT,MI,5634612.0,5368961.0
8402600410,MICHIGAN SHIPWRECK RESEARCH ASSOCIATES,HISTORIC PRESERVATION,,HOLLAND,MI,,,,0.0,0.0
8402600320,MICHIGAN SOCIETY OF PROFESSIONAL SURVEYORS,GENERAL MUSEUM,,LANSING,MI,,,,125258.0,107325.0
8402600468,MICHIGAN SPORTS HALL OF FAME,GENERAL MUSEUM,,FARMINGTON,MI,,,,193768.0,177617.0
8402600694,MICHIGAN SUPREME COURT HISTORICAL SOCIETY,HISTORIC PRESERVATION,,LANSING,MI,,,,146561.0,120487.0
8402600237,MICHIGAN TRAILS AND GREENWAYS ALLIANCE,HISTORIC PRESERVATION,,LANSING,MI,,,,86546.0,86546.0
8402600330,MICHIGAN TRANSIT MUSEUM,GENERAL MUSEUM,,MOUNT CLEMENS,MI,PO BOX 12,MOUNT CLEMENS,MI,24462.0,23942.0
8402600787,MICHIGAN WOOD CARVERS ASSOCIATION,ART MUSEUM,,BROOKLYN,MI,,,,36531.0,36531.0
8402600504,MICHIGANS OWN,HISTORY MUSEUM,,FRANKENMUTH,MI,,,,99723.0,97462.0
8402600328,MICHILIMACKINAC HISTORICAL SOCIETY,HISTORIC PRESERVATION,,SAINT IGNACE,MI,334 N STATE ST,SAINT IGNACE,MI,84761.0,80063.0
8402600854,MID MICHIGAN CIVIL WAR MUSEUM,GENERAL MUSEUM,,BOIS BLANC ISLAND,MI,,,,0.0,0.0
